UID         PID   PPID  C STIME TTY          TIME CMD
root          1      0  0  2019 ?        00:04:12 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root          2      0  0  2019 ?        00:00:01 [kthreadd]
root          4      2  0  2019 ?        00:00:00 [kworker/0:0H]
root          5      2  0  2019 ?        00:00:00 [kworker/u544:0]
root          6      2  0  2019 ?        00:00:01 [ksoftirqd/0]
root          7      2  0  2019 ?        00:00:00 [migration/0]
root          8      2  0  2019 ?        00:00:00 [rcu_bh]
root          9      2  0  2019 ?        00:19:46 [rcu_sched]
root         10      2  0  2019 ?        00:00:00 [lru-add-drain]
root         11      2  0  2019 ?        00:00:04 [watchdog/0]
root         12      2  0  2019 ?        00:00:04 [watchdog/1]
root         13      2  0  2019 ?        00:00:01 [migration/1]
root         14      2  0  2019 ?        00:00:00 [ksoftirqd/1]
root         16      2  0  2019 ?        00:00:00 [kworker/1:0H]
root         18      2  0  2019 ?        00:00:03 [watchdog/2]
root         19      2  0  2019 ?        00:00:00 [migration/2]
root         20      2  0  2019 ?        00:00:00 [ksoftirqd/2]
root         22      2  0  2019 ?        00:00:00 [kworker/2:0H]
root         24      2  0  2019 ?        00:00:03 [watchdog/3]
root         25      2  0  2019 ?        00:00:01 [migration/3]
root         26      2  0  2019 ?        00:00:00 [ksoftirqd/3]
root         28      2  0  2019 ?        00:00:00 [kworker/3:0H]
root         29      2  0  2019 ?        00:00:03 [watchdog/4]
root         30      2  0  2019 ?        00:00:00 [migration/4]
root         31      2  0  2019 ?        00:00:00 [ksoftirqd/4]
root         33      2  0  2019 ?        00:00:00 [kworker/4:0H]
root         34      2  0  2019 ?        00:00:03 [watchdog/5]
root         35      2  0  2019 ?        00:00:01 [migration/5]
root         36      2  0  2019 ?        00:00:00 [ksoftirqd/5]
root         38      2  0  2019 ?        00:00:00 [kworker/5:0H]
root         39      2  0  2019 ?        00:00:03 [watchdog/6]
root         40      2  0  2019 ?        00:00:00 [migration/6]
root         41      2  0  2019 ?        00:00:00 [ksoftirqd/6]
root         43      2  0  2019 ?        00:00:00 [kworker/6:0H]
root         44      2  0  2019 ?        00:00:03 [watchdog/7]
root         45      2  0  2019 ?        00:00:01 [migration/7]
root         46      2  0  2019 ?        00:00:00 [ksoftirqd/7]
root         48      2  0  2019 ?        00:00:00 [kworker/7:0H]
root         49      2  0  2019 ?        00:00:03 [watchdog/8]
root         50      2  0  2019 ?        00:00:00 [migration/8]
root         51      2  0  2019 ?        00:00:00 [ksoftirqd/8]
root         53      2  0  2019 ?        00:00:00 [kworker/8:0H]
root         54      2  0  2019 ?        00:00:03 [watchdog/9]
root         55      2  0  2019 ?        00:00:01 [migration/9]
root         56      2  0  2019 ?        00:00:00 [ksoftirqd/9]
root         58      2  0  2019 ?        00:00:00 [kworker/9:0H]
root         59      2  0  2019 ?        00:00:03 [watchdog/10]
root         60      2  0  2019 ?        00:00:00 [migration/10]
root         61      2  0  2019 ?        00:00:00 [ksoftirqd/10]
root         63      2  0  2019 ?        00:00:00 [kworker/10:0H]
root         64      2  0  2019 ?        00:00:03 [watchdog/11]
root         65      2  0  2019 ?        00:00:01 [migration/11]
root         66      2  0  2019 ?        00:00:00 [ksoftirqd/11]
root         68      2  0  2019 ?        00:00:00 [kworker/11:0H]
root         69      2  0  2019 ?        00:00:03 [watchdog/12]
root         70      2  0  2019 ?        00:00:00 [migration/12]
root         71      2  0  2019 ?        00:00:00 [ksoftirqd/12]
root         73      2  0  2019 ?        00:00:00 [kworker/12:0H]
root         74      2  0  2019 ?        00:00:03 [watchdog/13]
root         75      2  0  2019 ?        00:00:01 [migration/13]
root         76      2  0  2019 ?        00:00:00 [ksoftirqd/13]
root         78      2  0  2019 ?        00:00:00 [kworker/13:0H]
root         79      2  0  2019 ?        00:00:03 [watchdog/14]
root         80      2  0  2019 ?        00:00:01 [migration/14]
root         81      2  0  2019 ?        00:00:00 [ksoftirqd/14]
root         83      2  0  2019 ?        00:00:00 [kworker/14:0H]
root         84      2  0  2019 ?        00:00:03 [watchdog/15]
root         85      2  0  2019 ?        00:00:01 [migration/15]
root         86      2  0  2019 ?        00:00:00 [ksoftirqd/15]
root         88      2  0  2019 ?        00:00:00 [kworker/15:0H]
root         89      2  0  2019 ?        00:00:03 [watchdog/16]
root         90      2  0  2019 ?        00:00:01 [migration/16]
root         91      2  0  2019 ?        00:00:00 [ksoftirqd/16]
root         93      2  0  2019 ?        00:00:00 [kworker/16:0H]
root         94      2  0  2019 ?        00:00:03 [watchdog/17]
root         95      2  0  2019 ?        00:00:01 [migration/17]
root         96      2  0  2019 ?        00:00:00 [ksoftirqd/17]
root         98      2  0  2019 ?        00:00:00 [kworker/17:0H]
root         99      2  0  2019 ?        00:00:03 [watchdog/18]
root        100      2  0  2019 ?        00:00:00 [migration/18]
root        101      2  0  2019 ?        00:00:00 [ksoftirqd/18]
root        103      2  0  2019 ?        00:00:00 [kworker/18:0H]
root        104      2  0  2019 ?        00:00:03 [watchdog/19]
root        105      2  0  2019 ?        00:00:01 [migration/19]
root        106      2  0  2019 ?        00:00:00 [ksoftirqd/19]
root        108      2  0  2019 ?        00:00:00 [kworker/19:0H]
root        109      2  0  2019 ?        00:00:03 [watchdog/20]
root        110      2  0  2019 ?        00:00:00 [migration/20]
root        111      2  0  2019 ?        00:00:00 [ksoftirqd/20]
root        113      2  0  2019 ?        00:00:00 [kworker/20:0H]
root        114      2  0  2019 ?        00:00:03 [watchdog/21]
root        115      2  0  2019 ?        00:00:01 [migration/21]
root        116      2  0  2019 ?        00:00:00 [ksoftirqd/21]
root        118      2  0  2019 ?        00:00:00 [kworker/21:0H]
root        119      2  0  2019 ?        00:00:03 [watchdog/22]
root        120      2  0  2019 ?        00:00:00 [migration/22]
root        121      2  0  2019 ?        00:00:00 [ksoftirqd/22]
root        123      2  0  2019 ?        00:00:00 [kworker/22:0H]
root        124      2  0  2019 ?        00:00:03 [watchdog/23]
root        125      2  0  2019 ?        00:00:01 [migration/23]
root        126      2  0  2019 ?        00:00:00 [ksoftirqd/23]
root        128      2  0  2019 ?        00:00:00 [kworker/23:0H]
root        129      2  0  2019 ?        00:00:04 [watchdog/24]
root        130      2  0  2019 ?        00:00:00 [migration/24]
root        131      2  0  2019 ?        00:00:00 [ksoftirqd/24]
root        133      2  0  2019 ?        00:00:00 [kworker/24:0H]
root        134      2  0  2019 ?        00:00:03 [watchdog/25]
root        135      2  0  2019 ?        00:00:00 [migration/25]
root        136      2  0  2019 ?        00:00:00 [ksoftirqd/25]
root        138      2  0  2019 ?        00:00:00 [kworker/25:0H]
root        139      2  0  2019 ?        00:00:03 [watchdog/26]
root        140      2  0  2019 ?        00:00:01 [migration/26]
root        141      2  0  2019 ?        00:00:00 [ksoftirqd/26]
root        143      2  0  2019 ?        00:00:00 [kworker/26:0H]
root        144      2  0  2019 ?        00:00:03 [watchdog/27]
root        145      2  0  2019 ?        00:00:02 [migration/27]
root        146      2  0  2019 ?        00:00:00 [ksoftirqd/27]
root        148      2  0  2019 ?        00:00:00 [kworker/27:0H]
root        149      2  0  2019 ?        00:00:03 [watchdog/28]
root        150      2  0  2019 ?        00:00:00 [migration/28]
root        151      2  0  2019 ?        00:00:00 [ksoftirqd/28]
root        153      2  0  2019 ?        00:00:00 [kworker/28:0H]
root        154      2  0  2019 ?        00:00:03 [watchdog/29]
root        155      2  0  2019 ?        00:00:00 [migration/29]
root        156      2  0  2019 ?        00:00:00 [ksoftirqd/29]
root        158      2  0  2019 ?        00:00:00 [kworker/29:0H]
root        159      2  0  2019 ?        00:00:03 [watchdog/30]
root        160      2  0  2019 ?        00:00:00 [migration/30]
root        161      2  0  2019 ?        00:00:00 [ksoftirqd/30]
root        163      2  0  2019 ?        00:00:00 [kworker/30:0H]
root        164      2  0  2019 ?        00:00:03 [watchdog/31]
root        165      2  0  2019 ?        00:00:00 [migration/31]
root        166      2  0  2019 ?        00:00:00 [ksoftirqd/31]
root        168      2  0  2019 ?        00:00:00 [kworker/31:0H]
root        169      2  0  2019 ?        00:00:04 [watchdog/32]
root        170      2  0  2019 ?        00:00:00 [migration/32]
root        171      2  0  2019 ?        00:00:05 [ksoftirqd/32]
root        173      2  0  2019 ?        00:00:00 [kworker/32:0H]
root        174      2  0  2019 ?        00:00:03 [watchdog/33]
root        175      2  0  2019 ?        00:00:00 [migration/33]
root        176      2  0  2019 ?        00:00:00 [ksoftirqd/33]
